Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Storage years]	Term Source REF	Term Accession Number
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_Hh12LWL_QC01	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_Hh12LWL_QC02	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_Hh12LWL_QC03	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_Hh12LWL_QC04	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	POS_Hh12LWL_QC01	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	POS_Hh12LWL_QC02	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	POS_Hh12LWL_QC03	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	POS_Hh12LWL_QC04	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_0_year_1	Birth Year	NCIT	http://purl.obolibrary.org/obo/NCIT_C83164
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_0_year_2	Birth Year	NCIT	http://purl.obolibrary.org/obo/NCIT_C83164
